Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18009_001
06037501501,14000US06037501501,Census Tract 5015.01,"Census Tract 5015.01, Los Angeles County, California",ca,140,0,ACSSF,5340,,,,,6,37,,,,501501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895
06037501503,14000US06037501503,Census Tract 5015.03,"Census Tract 5015.03, Los Angeles County, California",ca,140,0,ACSSF,5341,,,,,6,37,,,,501503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468
06037501504,14000US06037501504,Census Tract 5015.04,"Census Tract 5015.04, Los Angeles County, California",ca,140,0,ACSSF,5342,,,,,6,37,,,,501504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157
06037501600,14000US06037501600,Census Tract 5016,"Census Tract 5016, Los Angeles County, California",ca,140,0,ACSSF,5343,,,,,6,37,,,,501600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424
06037501700,14000US06037501700,Census Tract 5017,"Census Tract 5017, Los Angeles County, California",ca,140,0,ACSSF,5344,,,,,6,37,,,,501700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522
06037501802,14000US06037501802,Census Tract 5018.02,"Census Tract 5018.02, Los Angeles County, California",ca,140,0,ACSSF,5345,,,,,6,37,,,,501802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642
06037501803,14000US06037501803,Census Tract 5018.03,"Census Tract 5018.03, Los Angeles County, California",ca,140,0,ACSSF,5346,,,,,6,37,,,,501803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245
06037501804,14000US06037501804,Census Tract 5018.04,"Census Tract 5018.04, Los Angeles County, California",ca,140,0,ACSSF,5347,,,,,6,37,,,,501804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365
06037501900,14000US06037501900,Census Tract 5019,"Census Tract 5019, Los Angeles County, California",ca,140,0,ACSSF,5348,,,,,6,37,,,,501900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434
06037502003,14000US06037502003,Census Tract 5020.03,"Census Tract 5020.03, Los Angeles County, California",ca,140,0,ACSSF,5349,,,,,6,37,,,,502003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335
06037502004,14000US06037502004,Census Tract 5020.04,"Census Tract 5020.04, Los Angeles County, California",ca,140,0,ACSSF,5350,,,,,6,37,,,,502004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582
06037502005,14000US06037502005,Census Tract 5020.05,"Census Tract 5020.05, Los Angeles County, California",ca,140,0,ACSSF,5351,,,,,6,37,,,,502005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535
06037502100,14000US06037502100,Census Tract 5021,"Census Tract 5021, Los Angeles County, California",ca,140,0,ACSSF,5352,,,,,6,37,,,,502100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246
06037502200,14000US06037502200,Census Tract 5022,"Census Tract 5022, Los Angeles County, California",ca,140,0,ACSSF,5353,,,,,6,37,,,,502200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580
06037502301,14000US06037502301,Census Tract 5023.01,"Census Tract 5023.01, Los Angeles County, California",ca,140,0,ACSSF,5354,,,,,6,37,,,,502301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923
06037502302,14000US06037502302,Census Tract 5023.02,"Census Tract 5023.02, Los Angeles County, California",ca,140,0,ACSSF,5355,,,,,6,37,,,,502302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232
06037502401,14000US06037502401,Census Tract 5024.01,"Census Tract 5024.01, Los Angeles County, California",ca,140,0,ACSSF,5356,,,,,6,37,,,,502401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433
