Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037101110","Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10, Los Angeles County, California","ca","140","00","ACSSF","0016759",,,,,"06","037",,,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110",,,"1142405","0",5017,3879,38,28,558,0,412,102
"06037101122","Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22, Los Angeles County, California","ca","140","00","ACSSF","0016760",,,,,"06","037",,,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122",,,"2644043","0",3663,2617,0,15,677,0,187,167
"06037101220","Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20, Los Angeles County, California","ca","140","00","ACSSF","0016762",,,,,"06","037",,,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220",,,"698967","0",3189,2364,23,37,173,0,552,40
"06037101300","Census Tract 1013, Los Angeles County, California","Census Tract 1013, Los Angeles County, California","ca","140","00","ACSSF","0016763",,,,,"06","037",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300",,,"2580401","0",3808,3436,12,22,220,0,108,10
"06037101400","Census Tract 1014, Los Angeles County, California","Census Tract 1014, Los Angeles County, California","ca","140","00","ACSSF","0016764",,,,,"06","037",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400",,,"6309194","0",3733,3131,132,31,194,0,158,87
"06037102103","Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03, Los Angeles County, California","ca","140","00","ACSSF","0016765",,,,,"06","037",,,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103",,,"1186472","0",1841,1449,39,17,205,0,59,72
"06037102104","Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04, Los Angeles County, California","ca","140","00","ACSSF","0016766",,,,,"06","037",,,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104",,,"1660052","0",3695,3191,48,0,315,19,95,27
"06037102105","Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05, Los Angeles County, California","ca","140","00","ACSSF","0016767",,,,,"06","037",,,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105",,,"492222","0",1525,713,0,0,128,0,515,169
"06037102107","Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07, Los Angeles County, California","ca","140","00","ACSSF","0016768",,,,,"06","037",,,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102107",,,"12908567","13753",3503,2942,40,0,274,0,176,71
"06037103101","Census Tract 1031.01, Los Angeles County, California","Census Tract 1031.01, Los Angeles County, California","ca","140","00","ACSSF","0016769",,,,,"06","037",,,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103101",,,"2029811","0",2917,2427,0,0,325,0,120,45
